話せる島,カーツ,カーツヘルム,カーツアーマー,カーツグローブ,カーツブーツ,反逆者の盾,武器強化スクロール,祝福された武器強化スクロール,防具強化スクロール,祝福された防具強化スクロール,魔力を失ったカーツソード,ピュアエリクサー,ハルパスの執念,アデナ,キャンセレーション,力を失ったカーツソード,力を失った反逆者の盾,力を失った指揮官のヘルム,力を失ったカーツヘルム,力を失ったカーツアーマー,力を失ったカーツグローブ,力を失ったカーツブーツ,,,,,,,,,,,,,
話せる島,アルフィア,シルバークロウ,祝福されたシルバークロウ,知識のリング,祝福された知識のリング,武器強化スクロール,祝福された武器強化スクロール,防具強化スクロール,祝福された防具強化スクロール,マーブルの遺産,ピュアエリクサー,ハルパスの執念,アデナ,エリアサイレンス,イミューントゥハーム,フォグオブスリーピング,アドバンスドスピリッツ,力を失った知識のリング,,,,,,,,,,,,,,,,,
話せる島,ウェアウルフ,モーニングスター,スケイルメイル,マーブルの遺産,ハルパスの執念,アデナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
話せる島,ライカンスロープ,チェーンメイル,グリーンポーション,修練者の武器強化スクロール,武器強化スクロール,マーブルの遺産,ハルパスの執念,アデナ,,,,,,,,,,,,,,,,,,,,,,,,,,,
話せる島,ノームアーチャー,ハンターボウ,魔法のヘルム治癒,エルヴンワッフル,修練者の防具強化スクロール,ランプメタル,鋼鉄の原石,ハルパスの執念,アデナ,ドレスデスクタリティ,,,,,,,,,,,,,,,,,,,,,,,,,
話せる島,ノームソードマン,グラディウス,シルバーロングソード,ジェネラルソード,魔法のヘルム治癒,ブレイブポーション,修練者の防具強化スクロール,ランプメタル,鋼鉄の原石,ハルパスの執念,アデナ,,,,,,,,,,,,,,,,,,,,,,,,
話せる島,ノームパイクマン,フォチャード,魔法のヘルム治癒,修練者の防具強化スクロール,ランプメタル,鋼鉄の原石,ハルパスの執念,アデナ,,,,,,,,,,,,,,,,,,,,,,,,,,,
話せる島,ノームシャーマン,メイジスタッフ,ビショップスタッフ,魔法のヘルム治癒,ブルーポーション,ブランクスクロールlv1,修練者の防具強化スクロール,ランプメタル,鋼鉄の原石,シルバーピース,ハルパスの執念,アデナ,マナドレイン,,,,,,,,,,,,,,,,,,,,,,
話せる島,オーク,モーニングスター,ファアグリオの遺産,ハルパスの執念,アデナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
話せる島,オークアーチャー,ダーククロスボウ,エルヴンワッフル,修練者の武器強化スクロール,ファアグリオの遺産,ハルパスの執念,アデナ,ドレスデスクタリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,
話せる島,オークファイター,グラディウス,ブレイブポーション,修練者の武器強化スクロール,ファアグリオの遺産,ハルパスの執念,アデナ,ドレスマイティー,,,,,,,,,,,,,,,,,,,,,,,,,,,
話せる島,オークパイクマン,フォチャード,修練者の武器強化スクロール,ファアグリオの遺産,ハルパスの執念,アデナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
